device_id|days
194045955|1#2#3#4#5#6#7#9#10#11#12#13#16#20#21#22#23#24#25#26#27#28#29#30#31#32#33#34#35#36#37#38#39#52#53#55#56#57#58#59#60
194046619|1#4#13#15#16#40#41#46#53#54
194046834|4#5#9#14#15#18#29#33#43#45
194047143|2#3#4#5#6#10#16#19#20#21#22#25#27#28#31#38#39#40#41#42#46#49#50#54#57#59#60
194047826|9#10#13#14#15#16#20#23#25#30#32#34#36#37#38#39#40#41#43#44#46#49#54#57#60
194048582|6#8#18#19#22#23#25#29#36#47#48#52#53#58#60
194048640|1#6#10#11#12#14#15#18#20#21#22#23#27#28#29#34#39#40#42#49#50#53#54#56#60
194050203|1#6#12#14#22#24#26#46#48#49#58
194050284|1#3#4#6#38#39#41#42#50#53#54#55#57
194051839|3#4#5#6#8#9#11#13#14#15#17#18#19#20#22#23#24#28#29#35#36#38#39#41#44#47#48#49#50#51#52#57#58
194052024|10#19#23#33#38#41#42#43#44#45#46#51#60
194052404|1#2#3#8#9#10#15#16#17#22#26#27#28#29#30#31#32#33#34#35#42#45#48#53#60
194054805|2#6#7#8#9#10#12#13#14#24#34#36#37#39#48#58#59
194055008|11#12#13#14#15#16#17#18#19#20#21#22#24#25#26#27#29#32#34#37#40#41#42#43#47#48#51#53#54#58#60
194055046|1#2#5#6#7#11#12#13#14#15#16#17#18#19#20#21#22#23#24#25#26#27#28#30#31#32#33#34#58#59#60
194055127|3#10#11#12#15#19#20#23#25#33#34#35#36#37#40#43#45#50#53#57#58
194055638|1#2#3#4#5#6#7#8#9#10#11#12#13#14#19#20#21#22#24#25#26#27#28#30#31#32#33#35#36#38#39#40#41#52#53#54#55#56#59
194056017|24#25#30#31#34#36#40#41#42#43#46#47#48#53#54#55#57
194058893|1#2#3#5#7#8#11#12#14#15#17#23#27#28#30#33#37#38#39#43#50#53#54#57#59#60
194059855|2#7#25#27#33#43#48#50#56#57#59#60
194060193|3#7#8#9#11#17#18#19#21#22#37#48#50#59#60
194060216|1#3#12#13#14#15#18#22#23#24#25#27#28#29#31#33#39#50
194060355|10#15#17#18#19#20#22#23#24#25#26#27#29#31#32#33#34#35#36#38#50#51#52#54#55#56#57#58#59#60
194060934|1#2#3#23#24#25#26#29#30#37#38#40#41#42#43#44#47#54
194061813|15#16#18#21#23#26#29#31#42#48#50#53#55
194062497|11#13#16#17#19#20#24#25#30#33#34#35#38#39#40#41#42#43#45#46#47#49#55#56
194062759|1#2#3#4#6#7#8#9#13#14#15#18#19#20#25#27#33#34#35#36#39#47#55#59
194064668|1#2#4#6#7#13#14#18#19#23#30#34#36#40#47#48#49#50#51#53#54#55#56#57#58#59#60
194065195|4#11#14#15#33#42#43#44#45#46#47#48#58#59#60
194065263|34#35#38#39#40#42#43#45#46#49
194065438|6#7#9#11#18#20#23#24#51#55#56#58
194065896|3#4#5#13#16#17#18#19#21#22#23#24#29#38#47#50#58#59
194067895|1#2#3#4#5#6#7#8#9#13#14#16#17#39#40#44#53
194068014|5#11#12#13#14#15#16#17#19#20#21#24#26#27#28#29#30#31#32#33#34#40#46
194068485|1#2#3#5#6#7#9#11#12#13#14#15#16#17#18#19#20#21#22#23#26#27#29#30#31#33#34#35#36#37#38#39#40#41#42#43#44#45#46#47#48#49#50#51#52#53#54#55#56#60
194068650|1#2#3#4#5#6#7#8#9#10#11#12#14#15#16#17#18#19#20#21#22#23#24#25#26#27#28#29#30#32#33#34#35#37#38#39#40#41#42#43#44#45#46#47#48#49#50#51#52#53#54#55#56#57#58#59#60
194068848|9#10#16#18#19#22#23#24#25#26#27#28#29#33#42#56
194069311|3#5#7#8#9#10#11#13#14#16#17#22#24#25#26#30#31#33#34#35#37#38#39#40#41#43#44#45#47#48#49#50#51#52#53#55#56#58#60
194069751|1#2#4#5#14#15#16#17#18#19#20#21#22#23#24#25#26#27#28#30#31#38#39#43#44#45#46#47#48#49#55
194070137|1#2#4#8#11#13#14#15#18#21#22#23#24#26#28#30#31#32#33#39#41#43#44#46#51#52#54#55#57#60
194070826|20#25#26#27#28#29#31#33#35#36#39#40#41#44#45#46#47#48#49#51#52#53#55#56#57#58#59
194072103|2#3#9#10#17#18#23#24#25#26#27#28#29#30#31#32#33#34#35#36#42#43#44#45#46#47#49#51#52#53#55#56#59#60
194072948|5#6#7#10#11#12#14#15#17#18#19#23#24#25#27#29#33#34#35#38#39#40#41#43#52#56#58#59#60
194073084|13#14#17#18#19#20#22#23#33#34#37#42#51#52#53#54#57#58#59#60
194073678|1#2#4#5#6#7#8#9#11#12#13#14#15#16#17#18#19#20#21#22#23#26#27#28#29#30#31#32#33#34#35#36#37#39#40#41#42#43#44#45#46#47#48#49#50#51#52#53#54#55#56#57#58#59#60
194075038|4#6#11#21#22#26#27#28#29#30#31#32#33#34#35#38#40#45#50#51#52#53#54#55#56#58#60
194075170|1#7#15#23#25#27#30#33#37#38#44#45#48#53#60
194075216|10#13#21#24#26#27#29#30#32#33#34#35#36#37#38#39#40#41#43#45#47#48#49#50#51#53#54#55#56#57#58
194075466|1#2#3#4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19#20#21#22#23#24#25#26#27#28#29#30#31#32#33#34#35#36#37#38#39#40#41#42#43#44#45#46#47#48#49#50#51#52#53#54#55#56#57#58#59#60
194076673|1#3#6#8#10#12#13#17#26#27#30#31#38#39#40#41#42#45#48#53#54#56#57#60
194077567|2#3#4#5#6#8#9#10#11#12#13#14#15#16#17#21#22#23#27#28#29#30#32#33#34#35#36#38#39#40#41#43#45#46#47#49#51#52#54#56#57#58#59#60
194077929|3#7#8#9#13#14#29#34#35#36#39#41#42#43#44#45#48#51#58
194078361|29#30#35#36#37#38#39#40#41#43#44#46#49#50#52#53#54#55#56#57#59#60
194079124|1#2#3#4#12#13#14#16#17#18#21#25#31#35#42#44#46#48#52#53#54#57#58#59
194079933|8#18#29#34#41#42#44#45#46#47#48#49#50#54#57
194080373|6#7#10#11#14#15#17#19#20#28#29#31#32#34#35#38#39#40#41#50#51#52#53#54#55#56#57#58#59#60
194081212|3#5#8#14#18#21#22#23#42#47#49#50#53#54#55#57#59#60
194082796|3#4#5#6#7#14#17#26#27#37#41#49#51#58#59
194083672|42#43#44#45#50#51#52#53#54#55#56#57#58#59#60
194084584|1#2#18#25#38#39#40#45#46#53
194084742|1#6#22#25#26#27#28#29#37#56
194084852|5#6#7#8#9#10#11#12#13#14#15#16#17#18#19#20#23#24#26#28#29#31#33#35#36#38#39#50#52#55#58
194085078|9#22#23#30#31#33#35#37#39#44#46#47#51
194085921|2#4#5#6#8#17#18#19#20#22#24#25#27#28#29#33#34#35#36#37#38#39#43#44#55#59
194086548|1#2#3#4#5#10#11#12#13#14#15#16#17#18#19#20#22#23#24#25#26#27#28#29#30#31#32#33#34#35#36#37#38#39#40#41#42#43#44#45#46#47#48#49#50#51#52#53#54#55#56#57#58#59#60
194086785|1#2#3#4#6#7#8#9#22#24#26#27#30#32#33#38#39#40#42#45#46#49#50#52#53#54#55#57#58#59#60
194087127|3#20#24#25#28#29#30#31#32#33#34#35#37#38#39#45#46#47#49#50#52#53#56
194087337|4#12#13#21#25#36#42#46#53#54#55#57#60
194087639|1#2#6#7#43#53#54#55#56#57#58#60
194087787|10#11#20#21#22#24#27#29#34#35#46#47#49#50#51#52#57#59#60
194087996|9#20#21#22#28#29#31#34#35#36#38#48#49#50#55#60
194088081|1#2#3#4#5#6#28#29#30#31#32#33#36#38#39#40#41#42#43#44#45#46#47#48#49#50#51#52#53#54#55#56#57#58#59#60
194088316|1#2#4#5#6#7#8#9#10#11#12#13#14#15#16#17#18#19#20#21#22#23#24#25#26#27#28#29#30#31#32#33#34#35#36#37#38#39#40#41#42#43#44#45#47#48#49#50#51#52#53#54#55#58#59#60
194088406|1#28#34#50#52#53#54#55#56#57#58
194090977|1#2#4#5#6#7#8#10#11#13#14#15#16#17#18#19#20#23#25#26#27#28#29#31#33#35#36#38#39#40#41#42#43#45#47#48#49#50#52#54#57#58
194091408|3#13#19#24#25#26#28#37#39#44#46#47#50#54#55#58
194091846|1#3#11#15#16#17#19#20#23#24#25#26#27#28#30#31#32#34#35#36#37#38#39#42#51#52#53#54#55#56
194092186|1#2#3#4#5#6#7#9#13#30#32#35#36#40#41#47#49#53#54
194092941|2#3#5#6#7#9#11#13#14#16#20#23#25#27#33#35#36#37#41#42#43#44#48#52#55
194094238|3#7#30#32#33#34#35#36#37#49#53#54
