device_id|gender|age|device|city|is_vip|topics
200199458|0|2|514|129|1|
199550517|1|4|418|277|NULL|
198895128|0|4|172|120|NULL|
198621962|1|3|419|152|NULL|
198188168|0|3|505|296|NULL|
198048628|0|2|184|272|NULL|
195792480|1|3|419|205|NULL|
195679145|0|1|311|294|NULL|
195675320|0|2|301|166|NULL|
195583747|0|4|25|152|NULL|
195198477|0|2|28|103|NULL|
194322504|0|3|505|88|0|
199940256|0|3|292|34|NULL|
199620382|1|2|210|283|1|
199604901|0|3|215|293|1|
199290096|0|4|532|69|NULL|
199206921|0|3|541|191|1|
199151250|0|1|544|245|NULL|
198917105|0|NULL|27|223|NULL|
198857755|1|3|224|62|NULL|
198522493|0|1|513|182|NULL|
198378066|0|3|512|30|NULL|
197219576|1|4|224|121|NULL|
196852996|0|NULL|215|47|NULL|
196621626|0|NULL|218|150|NULL|
196485627|1|4|306|318|NULL|
195865688|0|3|43|275|NULL|
195845638|1|1|538|10|0|
195708234|0|4|474|177|NULL|
194635583|0|4|295|294|1|
194546882|0|NULL|230|241|NULL|
194335230|0|NULL|541|318|NULL|
194278715|1|3|473|148|NULL|
194072948|1|4|166|223|0|
200032153|1|1|423|289|NULL|
199906399|0|4|167|228|1|
199904279|0|4|186|334|0|
199885166|1|3|222|294|NULL|
199609880|0|3|176|71|NULL|
199518848|0|4|186|299|NULL|
198777970|0|0|505|47|NULL|
198610785|1|3|551|148|NULL|
198597862|0|3|311|90|NULL|
198258255|0|1|544|334|NULL|
197466824|1|2|181|64|NULL|
197217365|0|2|228|123|NULL|
196827796|0|3|301|247|NULL|
196763270|1|NULL|505|290|NULL|
196497316|1|NULL|218|47|1|
196289261|1|4|24|153|NULL|
196001864|0|2|39|58|NULL|
195687932|0|4|12|211|NULL|
195082814|1|2|23|178|NULL|我要安利
194411556|1|3|549|75|NULL|
199990994|0|4|25|148|NULL|
199806591|1|4|229|91|NULL|
199541148|0|2|28|163|NULL|
199416241|0|4|517|312|NULL|
198689997|0|4|25|71|NULL|
198245751|0|1|276|122|NULL|
197711824|0|1|172|31|NULL|
197290925|0|1|224|325|0|
197014869|0|3|549|68|NULL|
196970447|0|2|214|132|0|
196457757|0|4|228|277|NULL|
196089495|1|1|449|68|NULL|
196038146|0|1|176|283|NULL|
196019322|1|3|167|110|1|
195888177|0|2|524|323|NULL|
194994704|1|4|176|155|NULL|
194812330|0|3|298|156|0|
194769394|0|3|36|234|NULL|
194460370|0|4|505|147|NULL|
194236789|0|2|24|147|NULL|
194162742|1|3|228|93|NULL|
199834061|0|2|505|99|NULL|
199654650|0|4|295|4|1|
199495538|0|4|292|206|NULL|
199488962|0|3|174|229|NULL|
199473319|0|4|176|97|NULL|
199365059|0|NULL|174|62|NULL|
198671357|0|4|32|217|NULL|
197835801|0|4|514|284|NULL|
197552644|0|NULL|538|91|NULL|
197525399|0|3|167|196|NULL|
196487810|0|2|298|34|0|
196481555|0|3|43|34|0|
196012866|0|2|298|52|0|
195978590|0|3|419|191|NULL|
195815013|0|1|215|10|NULL|
195455335|0|2|20|205|NULL|
195111372|0|4|181|205|1|
194898693|1|2|227|296|NULL|
194394355|1|3|505|331|NULL|
194267419|0|1|504|123|NULL|
194098271|1|2|40|183|NULL|
199433722|0|2|214|50|NULL|
199148838|1|NULL|24|290|NULL|
198794201|0|NULL|301|47|0|
198543171|0|NULL|471|91|NULL|
198300612|1|3|172|102|NULL|
198212525|0|1|219|52|1|
198076588|0|3|509|19|NULL|
198001541|0|2|295|4|NULL|
197996696|0|NULL|39|107|NULL|
197766668|1|2|39|136|NULL|
197657811|1|3|299|36|NULL|
197497882|1|2|172|205|NULL|
196559139|1|3|17|232|NULL|
196076220|0|4|474|223|NULL|
195989480|0|4|29|40|NULL|
195913601|1|3|181|147|NULL|
195440220|1|1|295|297|1|
195411433|0|4|225|184|NULL|
194885739|1|4|228|294|NULL|
194763329|0|4|482|124|NULL|
194662318|0|4|538|121|NULL|
194589859|1|2|511|297|NULL|
194307341|0|1|482|91|NULL|
194292383|0|2|292|269|NULL|
198704523|0|1|215|37|NULL|
197847518|0|2|218|248|0|
197829106|0|2|465|52|NULL|
197556824|1|3|306|140|1|
197521063|1|2|224|34|NULL|
197482762|1|1|417|120|NULL|
197211913|0|4|18|196|NULL|
196649776|0|4|42|142|NULL|
196385815|0|1|29|74|1|
196182995|0|4|532|168|NULL|
196180911|1|3|509|297|0|
195727096|1|3|227|310|NULL|
195309581|1|2|306|297|NULL|
194961661|0|4|551|203|NULL|
194937158|0|2|458|297|NULL|
194075170|0|3|42|332|NULL|
199237706|1|3|210|15|NULL|
198961391|1|2|24|308|NULL|
198793469|0|3|309|297|NULL|
198582366|0|4|37|125|NULL|
197278988|1|4|49|269|NULL|
197268951|1|3|214|256|NULL|
196211967|1|NULL|220|205|NULL|
196192570|0|0|514|224|NULL|
195705028|0|4|429|229|NULL|
195537591|0|NULL|24|254|NULL|
195433565|0|1|176|121|NULL|
195137735|0|2|505|245|NULL|
195117324|0|2|166|164|NULL|
194394545|0|3|295|334|NULL|
194251243|1|NULL|421|147|NULL|
199771713|0|2|473|331|NULL|
199678967|0|4|505|19|NULL|
199330547|0|3|178|80|1|
198382110|0|2|11|68|NULL|
198124592|1|2|29|173|NULL|
198007656|0|NULL|481|334|0|
197941891|0|3|210|332|NULL|
197889213|1|1|505|37|NULL|
197835671|0|NULL|306|283|NULL|
197119935|1|NULL|39|49|NULL|
196873007|1|2|471|19|NULL|
196780586|0|4|424|51|NULL|
196496676|1|0|223|269|NULL|
195919553|1|3|172|206|NULL|
195907441|1|3|293|124|NULL|
195881071|0|4|210|242|NULL|
195015463|1|3|473|258|NULL|
194244629|0|3|18|223|NULL|
199533449|1|1|298|275|NULL|
198599957|0|4|458|35|NULL|
197737218|0|2|425|334|NULL|
197023342|0|3|228|142|NULL|
196798030|0|3|233|246|NULL|
196482668|1|3|40|325|NULL|
196388793|1|3|210|116|NULL|
196168572|0|4|231|132|NULL|
196050932|1|3|505|206|NULL|
195981057|1|3|227|254|0|
195815512|0|4|210|334|NULL|
195779821|0|3|505|80|0|
195273205|0|3|492|334|NULL|
194455343|1|2|210|191|NULL|
200207835|1|NULL|505|39|NULL|
200121425|0|3|458|304|NULL|
199602779|0|2|509|122|NULL|
198425439|0|1|24|42|NULL|
198051226|0|4|28|192|NULL|
198009084|1|3|225|146|NULL|
197364177|0|2|229|103|0|
197260504|0|1|32|310|NULL|
195988173|0|3|24|265|NULL|
195969105|1|NULL|11|217|NULL|
195631423|0|4|32|115|NULL|
195464017|1|4|39|92|NULL|
194755164|0|4|295|232|NULL|
194644105|0|3|174|312|NULL|
194143380|1|3|514|126|0|
194139188|1|2|538|74|NULL|
200142479|0|2|512|128|NULL|
200059303|0|1|231|297|NULL|
199481198|1|1|536|128|NULL|
199084997|0|4|29|170|NULL|
197700009|0|NULL|418|300|NULL|
196451443|0|3|285|191|0|
196217966|0|3|268|228|NULL|
195745328|0|4|544|35|NULL|
199927512|1|1|224|7|NULL|
199448244|0|4|28|324|NULL|
199426499|0|4|530|231|NULL|
199244085|0|4|417|188|NULL|
199243099|1|3|505|229|NULL|
198892099|1|2|7|42|NULL|
198262672|0|3|186|164|NULL|
198092809|0|4|513|19|NULL|
198046413|0|1|448|236|0|
197398147|0|3|227|210|NULL|
197292252|0|2|303|120|0|
196674153|0|2|303|332|NULL|
196495790|0|1|210|44|NULL|
196155541|0|3|514|252|NULL|
195470329|0|4|215|286|NULL|
195345033|0|1|224|52|NULL|
194265120|0|3|172|91|NULL|
194259911|0|4|292|97|NULL|
200228432|1|3|514|190|NULL|
199904536|0|3|228|250|NULL|
199559945|0|1|172|239|NULL|
198975722|0|NULL|167|142|NULL|
198893232|0|NULL|25|97|NULL|
198789733|1|2|425|162|NULL|
198413225|0|2|231|199|NULL|
198235878|0|3|205|115|NULL|
198017570|0|4|24|270|NULL|
197958616|0|4|176|155|NULL|
197839145|1|3|55|102|NULL|
197252574|1|1|29|53|NULL|
196270793|1|0|172|92|NULL|
196222129|0|3|551|132|NULL|
195747822|0|1|457|78|NULL|
195556999|0|3|224|95|1|
195516550|0|4|222|156|NULL|
195324353|0|3|544|283|NULL|
194592013|0|4|458|204|NULL|
194424316|0|1|425|262|NULL|
194324008|0|1|18|46|NULL|
200045816|0|3|483|332|NULL|
199777029|1|3|226|186|NULL|
199597769|1|2|210|42|NULL|
199484317|0|4|505|272|NULL|
198751333|1|3|176|172|NULL|
198649411|0|3|174|334|NULL|
198527965|0|3|534|73|NULL|
198523620|1|1|233|134|0|
198090231|0|NULL|275|205|NULL|
197912901|1|3|172|275|0|
197466920|1|3|417|156|NULL|
197268811|0|2|505|101|NULL|
197160896|0|2|536|293|NULL|
197135258|0|3|214|226|NULL|
196442604|1|3|242|294|NULL|
196254682|0|3|426|17|NULL|
196013521|0|1|210|290|NULL|
195893263|0|2|551|109|NULL|
195391125|1|3|31|293|NULL|
194945402|1|4|509|68|NULL|
194763281|0|3|295|136|1|
194331073|0|4|538|250|1|
199873985|0|2|514|272|0|
199688129|1|NULL|172|186|NULL|
199624859|0|1|230|177|0|
198958918|0|2|298|331|NULL|
198520453|0|4|228|148|NULL|
197788406|0|3|483|316|NULL|
197604354|1|4|511|310|NULL|
197226022|0|2|482|162|NULL|
197031245|1|3|167|226|NULL|
196676808|0|1|295|54|NULL|
196422301|1|1|50|256|NULL|
196299418|0|3|533|79|NULL|
195920983|0|4|423|47|NULL|
195877450|0|4|296|226|NULL|
195782896|0|4|224|26|NULL|
195656982|0|4|285|205|NULL|
195000930|1|3|478|329|NULL|
200000130|0|4|541|284|NULL|
199851397|0|3|174|236|NULL|
198971386|1|1|210|294|NULL|
198852174|0|3|292|294|NULL|
198057921|0|1|178|283|0|
197772774|0|NULL|538|297|NULL|
196858706|0|4|224|330|NULL|
196392914|1|1|215|292|NULL|
196331528|0|3|214|109|NULL|
196327216|0|4|298|20|NULL|
196135504|0|3|471|164|NULL|
195920766|0|NULL|551|150|NULL|
195706043|0|3|457|164|NULL|
195602788|0|0|505|203|NULL|
195392051|0|1|152|334|NULL|
194253816|0|3|230|78|NULL|
200214589|1|4|230|224|NULL|
199216665|0|1|210|71|NULL|
199077375|0|NULL|176|321|NULL|
198843926|0|3|544|194|0|
198723038|0|NULL|285|121|NULL|
198603247|0|1|25|171|NULL|
198380089|0|3|42|297|NULL|
198071111|0|4|25|194|NULL|
197919334|1|2|534|226|NULL|
197856709|0|4|214|313|NULL|
197524210|0|4|186|196|NULL|
197511652|1|1|551|182|NULL|
197210387|0|2|181|18|NULL|
196670761|0|1|172|334|1|
196518896|1|1|174|150|NULL|
196405866|0|1|311|71|NULL|
196160307|0|2|482|97|1|
195107693|0|NULL|419|50|NULL|
194855688|1|2|298|75|NULL|
194519356|0|4|298|226|NULL|
194471869|0|NULL|538|205|NULL|
194095151|1|2|230|297|NULL|
194048640|1|3|544|297|NULL|
199598311|0|4|458|254|NULL|
199450757|0|2|167|326|0|
199312817|0|3|306|64|0|
199249323|1|4|530|259|NULL|
199243783|0|4|544|236|NULL|
199080186|1|0|223|102|NULL|
199036612|0|4|419|97|NULL|
198979440|1|1|224|47|NULL|
198923016|1|3|227|240|NULL|
198509856|1|1|215|253|NULL|
198223477|0|3|223|15|NULL|
198121879|0|1|517|166|NULL|
197660573|1|4|295|38|0|
197573137|0|NULL|418|72|NULL|
197168309|1|2|298|91|NULL|
196857244|0|3|513|10|NULL|
196222002|1|3|512|62|NULL|
195947133|0|3|215|85|NULL|
195863392|0|3|421|334|NULL|
195681945|0|4|457|91|NULL|
195641767|0|3|268|74|NULL|
195043829|0|4|511|251|1|
194477657|0|NULL|286|19|NULL|
194173350|0|2|509|46|NULL|
194149545|0|4|483|17|NULL|
199908448|0|1|254|187|NULL|
199886329|1|1|228|269|NULL|
199222657|0|1|520|114|0|
199079313|0|4|551|310|NULL|
198798578|0|2|285|217|NULL|
198573066|0|3|425|63|NULL|
198353403|0|2|514|140|NULL|
198274544|1|2|458|256|0|
198209039|0|1|505|268|NULL|
197969100|1|0|295|128|NULL|
197946981|1|1|215|60|NULL|
197917579|0|3|295|335|NULL|
197914692|0|4|220|273|NULL|
197841606|0|4|536|254|NULL|
197481431|1|NULL|167|206|NULL|
197325697|0|3|474|310|NULL|
196491130|0|1|532|209|0|
195927027|0|3|306|91|NULL|
195587020|0|4|217|155|NULL|
194753465|0|4|10|16|NULL|
194699908|0|1|217|31|NULL|
194434637|0|4|530|233|NULL|
194276659|0|3|210|266|NULL|
